sentence_id	essay_id	sentence_txt	idx_in_essay
0	2978	Certain materials being removed from libraries such as books, music and magazines, shouldn't be removed from the libraries	0
1	2978	It gives people a chance to understand how the real world @CAPS2	1
2	2978	Having certain materials such as books and music definitly should not be removed, because most books and music can show most people how bad the statement in the book @CAPS2 or how bad the lyrics are in a song, and help that person to avoid that type of thing that the book or song @CAPS2 saying to the reader or listener	2
3	2978	People should give every type of music at least a try and not always doubt what they hear about what people say about that type of music	3
4	2978	I always hear about people saying how bad the band @PERSON1 A.M	4
5	2978	@CAPS2, just because in the lyrics it talks about drugs and how much cursing each song has	5
6	2978	Really the band @CAPS2 talking about one mans life and how he turns his life from being a drug addict to having the best life someone could ever live	6
7	2978	People always doubted him and never gave his music a chance	7
8	2978	Another example would be @PERSON1's book, '@CAPS1 @CAPS2 @CAPS3 @CAPS4' for it talks about drug addicts, homeless people, people who have been born with disfigured arms or even someone who lost there legs, and telling how beautiful each and everyone of them really are	8
9	2978	His book taught me a few things and made me think different about people	9
10	2978	It doesn't matter how they look or how they talk, no matter what, that person @CAPS2 beautiful	10
11	2978	As far as movies and magazines has gone within the last few years, I think that the also shouldn't be taken from libraries	11
12	2978	I think @CAPS1 for the same reason of how I feel about the books and music	12
13	2978	Of course we see previews of movies and think that they @MONTH1 not be good, but libraries shouldn't keep leave them out	13
14	2978	Movies @CAPS2 a great way to learn how to treat others and how to act around other people when you don't know how to act	14
15	2978	If you act differently around people that you've never been around before, then you could feel embarassed or maybe even get @CAPS4	15
16	2978	Movies can help people learn about the real world by seeing how to do those type of things as we get older	16
17	2978	Same goes with the magazines, they also help people see what not to do or to help them understand the consequences of something that shouldn't be done	17
18	2978	Knowing what to do from a magazine could possible save your life or perhaps maybe even someone elses life	18
19	2978	I don't understand why some libraries would want to banned certain materials to help people understand the things that happen in someone elses life and to help them not make the same mistakes as that person once did.	19
20	2981	In @DATE1's world, there are many things found offensive	0
21	2981	Everyone has their own opinion on what is offensive and what is not	1
22	2981	Many parents are becoming upset because they think their children are viewing things that they should not	2
23	2981	Other people are upset because they think the libraries are offending their culture or way of life	3
24	2981	This is even taken to the extreme where people want censhorship on libraries to avoid this, which is wrong	4
25	2981	Some people are becoming concerned about the materials in libraries	5
26	2981	They find these things to be offensive	6
27	2981	Everyone is entitled to their own opinion, but there really is nothing anyone can do if someone is offended	7
28	2981	The world is a public place and everywhere we go, something might be found offensive	8
